Ecos de Cayambe 1470 AM;www.ecosdecayambe.es.tl;Terán 52-91 y 10 de Agosto;
Activa 88.5 FM - Cuenca;www.fm88radioactiva.com;Miguel Cordero y Av. Paucarbamba Edif. Work Center 5to piso Ofic. 508;Cuenca - Ecuador
Alfa Musical 1140 AM - Cuenca;http://www.alfa.com.ec/;Hermano Miguel 1068 y Gran Colombia;Ecuador
Católica Nacional 98.1FM (Cuenca, Paute, Gualaceo);www.radiocatolicacuenca.com.ec;Bolívar 9-49 y Luis Cordero;Cuenca, Ecuador
Cosmos FM 97.3 FM - (Cuenca, Paute);www.cosmos.ec;Av. Abelardo J. Andrade 2-07 y Francisco Tamariz;
Radio Cuenca 1180 AM;www.radiocuenca.com;Bomboíza 1-83 entre Loja y Pastaza;
"La Voz de Tomebamba 1070AM; 1021 FM - (Cuenca, Girón, Paute)";www.lavozdeltomebamba.com;Benigno Malo 15-91 y Muñoz Vernaza, esquina;Cuenca, Ecuador
Ondas Azuayas 1110 AM - Cuenca;www.ondasazuayas.ec;Héroes de Verdeloma 915 y Francisco Tamariz;Cuenca-Ecuador-South America
Radio Súper 94.9FM - (Cuenca, Girón, Paute);www.super949.com;Benigno Malo 1591 y Muñoz Vernaza, esquina;Cuenca, Ecuador
Splendid 1040 AM - Cuenca;http://www.radiosplendid.com.ec/splendid/site/;Luis Cordero 18-18 y Eugenio Espejo;Cuenca, Ecuador
Antena Libre 105.9 FM - Esmeraldas;www.radioantenalibre.net;Sucre y 24 de Mayo ( La Catedral );Esmeraldas Ecuador
Visión 1010 AM,106.1 FM - Cuenca;www.cadenaradialvision.com;Av. 12 de Abril 2-01 y Arirumba;Cuenca Ecuador
La Voz de Quinindé 1410 AM - Stéreo Quinindé 94.9 FM;www.megason.com;Nelsón Valencia entre Simón Plaza Torres y Gómez de la Torre;
Radio K1 92.5 FM -  Cuenca;www.radiok1.com;Agustín Cueva 641 y Remigio Crespo;
Antena Uno 90.5 FM - Cuenca, Girón;www.antenauno.com;Av. Héroes de Verdeloma 9-15 entre Luis Cordero y Padre Aguirre;Cuenca, Ecuador
Armonía Super Eco 100.1 FM - Giron;www.armoniasuperfm.com;Antonio Flores 6-57 y Córdova;
La Voz de San Fernando 1350 AM - Azuay;www.edina.com.ec;Av. José María Quito y Santiago de San Fernando;
Stereo Fasayñán 92.9FM - Azuay;www.stereofasaynan.com;Calle Dávila 132 y Corral;
Impacto La Súper Grande de Bolivar 99.9 FM;www.impacto999.com;Calle 9 de abril 715 Y Manuela Cañizares;
Radio Universidad 102.3 FM - Bolivar;www.radio.ueb.edu.ec;Campus Universitario: “Alpachaca” Av. Ernesto Che Guevara s/n y Av. Gabriel Secaira;
Vocú 102.3 FM - Ibarra;www.radiovocu.com;Juana Atabalipa 7-31 y Juan Francisco Bonilla 2do.;ibarra-Ecuador
Soberana 98.7 FM - Bolivar;www.radiosoberana.com;AV. 24 de Mayo s/n y Margarita Gordillo;
Satelital 95.1 FM - Bolivar;www.radiosatelital95fm.com;Guayas n-165 y 10 de agosto;San Jose De Chimbo
Sonoritmo 90.3 FM - Bolivar;www.radiosonoritmo.com;10 de Enero y Pichincha Esquina.;
Más Radio 95.5 FM - Otavalo;www.gruporadialimbabura.com;Morales 408 y Sucre;Ecuador
Satélite 107.1 FM - Otavalo;www.radiosatelite.tk;Calle: Cristobal Colón y Av. Atahualpa;
Ecos Culturales de Urcuqui 1560 AM - Imbabura;www.radioecosculturales.com;Calle Antonio Ante E04-07 y Guzmán;
Cumbres 106.9 FM - Cañar;www.radiocumbresfm.com;Sucre 009 y Guayaquil;
La Voz del Pueblo 1160 AM - Cañar;www.radiolavozdelpueblo.com;Calle Los Laureles #106, y Roberto Bravo;
Onda Cañaris 1530 AM / 95.3 FM;www.ondascanaris.com.ec;Rivera 3-16 y Sucre, Edif. Ondas Cañaris;Azogues
Ondas del Volante 1440 AM - Cañar;www.ondasdelvolante.com.ec;Bolívar y Azuay, esquina. Ed. Sindicato de Choferes del Cañar;
El Rocío 1370 AM - Biblián;www.radioelrocio1370.com;Mariscal Sucre 202 y Tarqui,Cantón Biblián;
J.P. Radio (107.9 FM);www.troncal.net;Av. 24 de Mayo 39 y Eloy Alfaro;La Troncal
América 89.7 FM - Carchi;www.americaestereo.com;Olmedo 40-244 y Ayacucho, edif. Benalcazar;
Católica 88.5 FM - Tulcán;www.radiocatolica.org.ec;10 de Agosto y Olmedo, 5to Piso;
"Ondas Carchenses 1250 AM; 107.3 FM - Tulcán";www.ondascarchenses.com;Olmedo 52-025 y Ayacucho. Ed. Mutualista Benalcázar, Piso 3. of 302;
Mira 90.5 FM - Carchi;www.mira.ec;Calle González Suárez 836;
SKY 102.1 FM - San Gabriel;www.turadiosky.com;Av. Atahualpa 01.66 y Aristizabal, San gabriel;
Radio Tulcán 94.1 FM;www.radiotulcanfm.com;Calle Olmedo y Ayacucho Edificio Benalcazar Piso 3;
Riobamba Stéreo 89.3 FM;www.riobambastereo.com.ec;Veloz 29-40, entre Juan Montalvo y Carabobo;RIOBAMBA - ECUADOR
Futura 104.9 FM - Riobamba;www.radiofuturafm.com;Calle Morona 20-23, entre Guayaquil y Olmedo;
Radio Mundial  96.1 FM - Riobamba;www.radio-mundial.com;Av. Daniel León Borja 3044 y Pasaje El Espectador;Riobamba-Ecuador
Radio Católica Nacional 105.7 FM - Riobamba;www.radiocatolica.org.ec;Espejo 2418 y Orozco;
Stéreo Mundo  90.5 FM La Mega;www.stereomundo905.es.tl;Calle 44 21-21, entre Av. León Borja y Reina Paccha;
Súper 93.3 FM - Colta;www.radiosuperfmriobamba.com;Ayacucho 1952 y Tarqui. San Alfonso;
Latacunga 1080 AM / Stéreo Latacunga 102.1 FM;www.latacungaradio.com;Quito No. 1456 Pasaje la Catedral;
Radio Bonita La Maná 106.7 FM;www.fmbonita.com;Calle Calabí y Gonzalo Albarracín;
Gitana 94.9 FM - Quito;www.gitana.com.ec;12 de Octubre N24-402 y Luis Cordero;
Radio Centro 97.7 FM - Quito;www.radiocentroquito.com;Rumipamba 706 y República;
FM Mundo 98.1 FM - Quito;www.fmmundo.com;Los Shyris 35-271 y Suecia;Quito, Ecuador 98.1 Fm
Radio Canela 106.5 FM - Quito;www.canelaradio.com;Psje. Batallas E9-53 y 6 de Diciembre;
Radio Platinum 90.9 FM - Quito;www.ecuadoradio.ec;Av. La Coruna N31-70 y Whymper;
Majestad 89.7 FM - Quito;www.radiomajestad.com;6 de Diciembre N34-111 e Irlanda;
America 104.5 FM - Quito;www.americaestereo.com;Colón E4-82 y 9 de Octubre;Ecuador
La Otra 91.3 FM - Quito;www.laotrafm.com;Pasaje Batallas y 6 de Diciembre;
Radio Cristal 1380 AM - Quito;www.radiocristal.com.ec;La Prensa N60-22 y El Maestro;Quito
Positiva 860 AM - Quito;www.radiopositiva.com.ec;Av. 10 de Agosto N37-232 y Villalengua. Edificio Cominesa 2do piso;
Radio Quito 760 AM - Quito;www.ecuadoradio.ec;Coruña 2104 y Whymper. Ed. Aragones 9no piso.;Quito, Ecuador
Super K 800 590 AM - Quito;www.superk800.com;Conde Ruíz de Castilla 977 y Murgeon;Ecuador
Monumental 1510 AM - Quito;www.radiomonumental1510am.com;10 de Agosto N32-106 y Las Guayanas;
JC Radio La Bruja 107.3 FM - Quito;www.jcradio.com.ec;Isabel La Católica N24-365 y Cordero;Ecuador 
Onda Azul 101.3 FM - Quito;www.radioondaazul.com.ec;Alemania E3-57 y Las Guayanas;
Sonorama 103.7 FM - Quito;www.sonorama.com.ec;Pasaje Dolomitas N45-95 y Los Naranjos (Canal 1);Quito
La Red 102.1 - Quito;www.lared.com.ec;Ascazubi 135 y 9 de Octubre;Quito/Ecuador
La Voz del Napo 88.5 FM - Napo;www.lavozdelnapo.com;Juan Montalvo 995 y Gral Gallo;Tena - Napo
Stereo Tucán 105.1 FM - Joya de los Sachas;www.radiotucanfm.com;Av. De los Fundadores 0 y Calle B;
Ciudadana Matriz 640 AM -Quito;www.laciudadana.gob.ec;San Salvador E6-49 Y Eloy Alfaro;Guayaquil: Malecón y Aguirre 
Radio Vigía 90.5 FM - Quito;www.radiovigiafm.com;Ramírez Dávalos entre 10 de agosto y Versalles edificio de la Dirección Nacional de Control de Tránsito y Seguridad Vial, 7mo piso;Quito, Ecuador
Radio Casa de la Cultura 940 AM - Quito;www.casadelacultura.gob.ec;Av. 6 de Diciembre N16-224 y Patria;
Radio Municipal 720 AM - Quito;www.radiomunicipal.gob.ec;Luis Dávila s/n y Montevideo (antiguo Hospital Militar);
Radio Pública 105.3 FM - Quito;www.radiopublica.ec;San Salvador E6-49 y Eloy Alfaro;ECUADOR
Radio Asamblea Nacional 95.7 FM - Quito;www.radio.asambleanacional.gob.ec;Piedrahita 212 y 6 de Diciembre;Quito - Ecuador
Radio Católica Nacional 94.1 FM - Quito;www.radiocatolica.org.ec;América N24-36 y Mercadillo;Quito
Radio Latina 88.1 FM -Quito;www.radiolatina881.com;José Larrea OE1-382 y Mariano Cardenal (Parquenor);Quito, Ecuador
Radio Visión Quito S.A. 91.7 FM;www.radiovision.com.ec;Francisco Arizaga Luque 123 y Federico Páez;
Ecuashyri 104.9 FM - Quito;www.ecuashyri.com;N28 Selva Alegre OE455 y Fray Gaspar de Carvajal;
Radio Eres 93.3 FM - Quito;www.radioeres.com;Av. Amazonas N35-89 y Corea, 4to piso Edificio Amazonas;
Pichincha Universal 95.3 FM - Quito;www.pichinchauniversal.com.ec;Mallorca N24-198 y Madrid, sector la Floresta.;Quito - Ecuador
HCJB La Voz de los Andez 89.3 FM - Quito;www.radiohcjb.org;Villalengua OE2-52 y 10 de Agosto;Quito, Ecuador
Radio Atalaya 680 AM - Guayaquil;www.radioatalaya.net;Víctor Hugo Sicouret 901 Luis Orrantia;Ecuador
Radio Morena 640 AM - Guayaquil;www.radiomorena640.com;Av. Quito 1200 y Aguirre;Av. Quito # 1200 y Aguirre
Radio Cristal 870 AM - Guayaquil;www.radiocristal.com.ec;Luque entre José de Antepara y García Moreno;
Radio Galáctica 1230 AM - Guayaquil;www.radiogalactica1230am.jimdo.com;Vélez 911 Pedro Moncayo;
Radio Universal  1270 AM - Guayaquil;www.radiouniversalgye.com;Chimborazo 3407 Y El Oro;
Radio Disney 93.7 FM - Guayaquil;www.concertquil.com;Avenida 9 De Octubre 719 Boyacá;
Onda Positiva 94.1 FM - Guayaquil;www.radioondapositiva.com;Ciudadela Santa Leonor Mz 4 Villa 3;
Radio Centro 101.3 FM - Guayaquil;www.radiocentro.com.ec;Dirección: Carchi 702 y Av. 9 de Octubre, Edificio Salco, piso 6;Guayaquil
JC Radio 98.5 FM - Guayaquil;www.jcradio.com.ec;Av. De Las Américas N406 S 7 N;Ecuador 
Radio Dinámica 1490 AM - Guayaquil;www.radiodinamica.com;Luque 720 Rumichaca;Guayaquil - Ecuador
Ecos de Cayambe 1470 AM;www.ecosdecayambe.es.tl;Terán 52-91 y 10 de Agosto;
Activa 88.5 FM - Cuenca;www.fm88radioactiva.com;Miguel Cordero y Av. Paucarbamba Edif. Work Center 5to piso Ofic. 508;Cuenca - Ecuador
Alfa Musical 1140 AM - Cuenca;http://www.alfa.com.ec/;Hermano Miguel 1068 y Gran Colombia;Ecuador
Católica Nacional 98.1FM (Cuenca, Paute, Gualaceo);www.radiocatolicacuenca.com.ec;Bolívar 9-49 y Luis Cordero;Cuenca, Ecuador
Cosmos FM 97.3 FM - (Cuenca, Paute);www.cosmos.ec;Av. Abelardo J. Andrade 2-07 y Francisco Tamariz;
Radio Cuenca 1180 AM;www.radiocuenca.com;Bomboíza 1-83 entre Loja y Pastaza;
"La Voz de Tomebamba 1070AM; 1021 FM - (Cuenca, Girón, Paute)";www.lavozdeltomebamba.com;Benigno Malo 15-91 y Muñoz Vernaza, esquina;Cuenca, Ecuador
Ondas Azuayas 1110 AM - Cuenca;www.ondasazuayas.ec;Héroes de Verdeloma 915 y Francisco Tamariz;Cuenca-Ecuador-South America
Radio Súper 94.9FM - (Cuenca, Girón, Paute);www.super949.com;Benigno Malo 1591 y Muñoz Vernaza, esquina;Cuenca, Ecuador
